geracao,qtdFeatures,qtdParticulas,fitness
0,8,100,0.007874015748031482
1,8,95,0.004016064257028162
2,8,96,0.004016064257028162
3,8,94,0.004016064257028162
4,8,94,0.004016064257028162
5,8,91,0.004016064257028162
6,8,86,0.004016064257028162
7,8,89,0.004016064257028162
8,5,88,0.0
9,5,95,0.0
10,5,86,0.0
11,5,91,0.0
12,5,84,0.0
13,5,74,0.0
14,5,82,0.0
15,5,84,0.0
16,5,76,0.0
17,5,73,0.0
18,5,79,0.0
19,5,69,0.0
20,5,72,0.0
21,5,67,0.0
22,5,71,0.0
23,5,72,0.0
24,5,66,0.0
25,5,67,0.0
26,5,68,0.0
27,5,63,0.0
28,5,66,0.0
29,5,61,0.0
30,5,53,0.0
31,5,67,0.0
32,5,58,0.0
33,5,57,0.0
34,5,62,0.0
35,5,57,0.0
36,5,55,0.0
37,5,57,0.0
38,5,54,0.0
39,5,63,0.0
40,5,39,0.0
41,5,60,0.0
42,5,54,0.0
43,5,48,0.0
44,5,66,0.0
45,5,48,0.0
46,5,48,0.0
47,5,54,0.0
48,5,40,0.0
49,5,54,0.0
50,5,42,0.0
51,5,49,0.0
52,5,48,0.0
53,5,40,0.0
54,5,42,0.0
55,5,42,0.0
56,5,46,0.0
57,5,39,0.0
58,5,44,0.0
59,5,45,0.0
60,5,44,0.0
61,5,43,0.0
62,5,35,0.0
63,5,44,0.0
64,5,37,0.0
65,5,46,0.0
66,5,34,0.0
67,5,38,0.0
68,5,38,0.0
69,5,30,0.0
70,5,29,0.0
71,5,30,0.0
72,5,32,0.0
73,5,39,0.0
74,5,37,0.0
75,5,30,0.0
76,5,36,0.0
77,5,37,0.0
78,5,36,0.0
79,5,25,0.0
80,5,38,0.0
81,5,31,0.0
82,5,27,0.0
83,5,33,0.0
84,5,27,0.0
85,5,34,0.0
86,5,29,0.0
87,5,24,0.0
88,5,22,0.0
89,5,32,0.0
90,5,22,0.0
91,5,29,0.0
92,5,30,0.0
93,5,31,0.0
94,5,22,0.0
95,5,26,0.0
96,5,34,0.0
97,5,22,0.0
98,5,32,0.0
99,5,25,0.0
100,5,27,0.0
101,5,28,0.0
102,5,21,0.0
103,5,17,0.0
104,5,31,0.0
105,5,28,0.0
106,5,19,0.0
107,5,20,0.0
108,5,22,0.0
109,5,22,0.0
110,5,24,0.0
111,5,18,0.0
112,5,24,0.0
113,5,16,0.0
114,5,22,0.0
115,5,21,0.0
116,5,24,0.0
117,5,27,0.0
118,5,15,0.0
119,5,21,0.0
120,5,21,0.0
121,5,19,0.0
122,5,17,0.0
123,5,26,0.0
124,5,18,0.0
125,5,18,0.0
126,5,17,0.0
127,5,18,0.0
128,5,26,0.0
129,5,26,0.0
130,5,21,0.0
131,5,22,0.0
132,5,11,0.0
133,5,16,0.0
134,5,18,0.0
135,5,17,0.0
136,5,15,0.0
137,5,23,0.0
138,5,10,0.0
139,5,19,0.0
140,5,21,0.0
141,5,17,0.0
142,5,16,0.0
143,5,21,0.0
144,5,13,0.0
145,5,16,0.0
146,5,13,0.0
147,5,12,0.0
148,5,16,0.0
149,5,16,0.0
150,5,16,0.0
